1	The "All of Us" Research Program	Accession 	Number	New England Journal of Medicine
3599	Effect of Contemporary Bariatric Surgical Procedures on Type 2 Diabetes Remission. A Population-Based Matched Cohort Study	Accession 	Number	Obesity Surgery
3600	Health conditions in rural areas with high livestock density: Analysis of seven consecutive years	Accession 	Number	Environmental Pollution (Barking, Essex: 1987)
3601	Erectile dysfunction drug receipt, risky sexual behavior and sexually transmitted diseases in HIV-infected and HIV-uninfected men	Accession 	Number	Journal of General Internal Medicine
3602	Exploring the use of mothers' own milk as oral care for mechanically ventilated very low-birth-weight preterm infants	Accession 	Number	Advances in Neonatal Care
3603	Traumatic Brain Injury in Early Childhood and Risk of Attention-Deficit/Hyperactivity Disorder and Autism Spectrum Disorder: A Nationwide Longitudinal Study	Accession 	Number	Journal of Clinical Psychiatry
3604	Neonatal outcomes in fetuses with cardiac anomalies and the impact of delivery route	Accession 	Number	American Journal of Obstetrics and Gynecology
3605	Trends in diverticulitis management in the United States from 2002 to 2007	Accession 	Number	Archives of Surgery
3606	Incidence of Clostridium difficile Infection After Sepsis Protocol Antibiotics	Accession 	Number	Western Journal of Emergency Medicine
3607	Computerized occlusion rating of embolized ruptured intracranial aneurysms: relation to intra- and postinterventional aneurysm rehemorrhage	Accession 	Number	Acta Neurochirurgica Supplement
3608	Impact of delaying treatment intensification with a glucagon-like peptide-1 receptor agonist in patients with type 2 diabetes uncontrolled on basal insulin: A longitudinal study of a US administrative claims database	Accession 	Number	Diabetes, Obesity & Metabolism
3609	The minimally invasive anterolateral approach versus the traditional anterolateral approach (Watson-Jones) for hip hemiarthroplasty after a femoral neck fracture: an analysis of clinical outcomes	Accession 	Number	International Orthopaedics
3610	Long-Term Safety and Efficacy of Lowering Low-Density Lipoprotein Cholesterol With Statin Therapy: 20-Year Follow-Up of West of Scotland Coronary Prevention Study	Accession 	Number	Circulation
3611	Oral antidiabetic medication adherence and glycaemic control among patients with type 2 diabetes mellitus: a cross-sectional retrospective study in a tertiary hospital in Saudi Arabia	Accession 	Number	BMJ Open
3612	Growth of young HIV-infected and HIV-exposed children in western Kenya: A retrospective chart review	Accession 	Number	PloS One
3613	The base rates and factors associated with reported access to firearms in psychiatric inpatients	Accession 	Number	General Hospital Psychiatry
3614	Procalcitonin as a Predictive Marker for Bacteremia in Children With a Central Line and Fever	Accession 	Number	Hosp Pediatr
3615	Coronary artery disease detected by coronary computed tomographic angiography is associated with intensification of preventive medical therapy and lower low-density lipoprotein cholesterol	Accession 	Number	Circulation: Cardiovascular Imaging
3616	Effects of the use of phytosterol/-stanol-enriched margarines on adherence to statin therapy	Accession 	Number	Pharmacoepidemiology and Drug Safety
3617	Multiple imputation for patient reported outcome measures in randomised controlled trials: advantages and disadvantages of imputing at the item, subscale or composite score level	Accession 	Number	BMC Medical Research Methodology
3618	Medication Exposure in Highly Adherent Psychiatry Patients	Accession 	Number	ACS Chemical Neuroscience
3619	American Urological Association Nonmuscle Invasive Bladder Cancer Risk Model Validation-Should Patient Age be Added to the Risk Model?	Accession 	Number	Journal of Urology
3620	Effectiveness of a pharmacy care management program for veterans with dyslipidemia	Accession 	Number	Pharmacotherapy
3621	[Risk of pneumococcal disease in elderly patients with and without previous vaccination]	Accession 	Number	Atencion Primaria
3622	Risk Factors of Ischemic Stroke and Subsequent Outcome in Patients Receiving Hemodialysis	Accession 	Number	Stroke
3623	Incidence and risk of heart failure in systemic lupus erythematosus	Accession 	Number	Heart
3624	Pain severity and mobility one year after spinal cord injury: a multicenter, cross-sectional study	Accession 	Number	European Journal of Physical and Rehabilitation Medicine
3625	Risk and Economic Burden of Peristomal Skin Complications Following Ostomy Surgery	Accession 	Number	Journal of Wound, Ostomy and Continence Nursing
3626	Admission rapid thrombelastography delivers real-time "actionable" data in pediatric trauma	Accession 	Number	Journal of Pediatric Surgery
3627	Incident anaemia in older adults with heart failure: rate, aetiology, and association with outcomes	Accession 	Number	Eur Heart J Qual Care Clin Outcomes
3628	The impact of teaching status on trauma center clinical outcomes in the United States	Accession 	Number	Medicine (Baltimore)
3629	Comparing dental identifier charting in cone beam computed tomography scans and panoramic radiographs using INTERPOL coding for human identification	Accession 	Number	Forensic Science International
3630	Diagnosing somatisation disorder (P75) in routine general practice using the International Classification of Primary Care	Accession 	Number	Journal of Psychosomatic Research
3631	Safety of Outpatient Isolated Orbital Floor Fracture Repair	Accession 	Number	Journal of Craniofacial Surgery
3632	The magic number: Are improved outcomes observed at trauma centers with undertriage rates below 5%?	Accession 	Number	J Trauma Acute Care Surg
3633	The characteristics of acute non-fatal medication-related events attended by ambulance services in the Melbourne Metropolitan Area 1998-2002	Accession 	Number	Drug Alcohol Rev
3634	Single port access laparoscopic adnexal surgery versus conventional laparoscopic adnexal surgery: a comparison of peri-operative outcomes	Accession 	Number	European Journal of Obstetrics, Gynecology, and Reproductive Biology
3635	Reasons for Lack of Diagnostic Colonoscopy After Positive Result on Fecal Immunochemical Test in a Safety-Net Health System	Accession 	Number	American Journal of Medicine
3636	The Role of Early Post-Operative Radiographs Following Distal Radius Fracture Fixation with a Volar Locking Plate: Time for Change?	Accession 	Number	J Hand Surg Asian Pac Vol
3637	Risk of Extrapyramidal Adverse Events With Aripiprazole	Accession 	Number	Journal of Clinical Psychopharmacology
3638	Renal histology in Indigenous Australians with lupus nephritis	Accession 	Number	International Journal of Rheumatic Diseases
3639	Clinical outcomes of early and later physical therapist services for older adults with back pain	Accession 	Number	Spine J
3640	Disparities in Inter-hospital Helicopter Transportation for Hispanics by Geographic Region: A Threat to Fairness in the Era of Thrombectomy	Accession 	Number	Journal of Stroke and Cerebrovascular Diseases
3641	Factors predicting adverse events associated with therapeutic colonoscopy for colorectal neoplasia: a retrospective nationwide study in Japan	Accession 	Number	Gastrointestinal Endoscopy
3642	Impact of aspirin on clinical outcomes for African American men with prostate cancer undergoing radiation	Accession 	Number	Tumori
3643	[Association between lymphopenia of elderly patients and intrahospital mortality in a geriatric acute care unit]	Accession 	Number	Gériatrie et Psychologie Neuropsychiatrie du Vieillissement
3644	Evaluation of the accuracy of estimated baseline serum creatinine for acute kidney injury diagnosis	Accession 	Number	Clinical and Experimental Nephrology
3645	Treatment of pertrochanteric fractures (OTA 31-A1 and A2): long versus short cephalomedullary nailing	Accession 	Number	Journal of Orthopaedic Trauma
3646	Outcomes Associated With a Strategy of Adjuvant Metolazone or High-Dose Loop Diuretics in Acute Decompensated Heart Failure: A Propensity Analysis	Accession 	Number	J Am Heart Assoc
3647	Role of stereotactic body radiotherapy for symptom control in head and neck cancer patients	Accession 	Number	Supportive Care in Cancer
3648	Factors related to omalizumab resistance in chronic spontaneous urticaria	Accession 	Number	Allergy and Asthma Proceedings
3649	Comparing clinical judgment with the MySurgeryRisk algorithm for preoperative risk assessment: A pilot usability study	Accession 	Number	Surgery
3650	Contribution of Electrocardiographic Accelerated Ventricular Rhythm Alarms to Alarm Fatigue	Accession 	Number	American Journal of Critical Care
3651	Study protocol: the Back Pain Outcomes using Longitudinal Data (BOLD) registry	Accession 	Number	BMC Musculoskeletal Disorders
3652	Predictor of Isolated Trauma in Head: A New Simple Predictor for Survival of Isolated Traumatic Brain Injury	Accession 	Number	Journal of Emergency Medicine
3653	Insurance status and hospital discharge disposition after trauma: inequities in access to postacute care	Accession 	Number	Journal of Trauma
3654	Patient-reported outcomes before and after treatment of major depressive disorder	Accession 	Number	Dialogues in Clinical Neuroscience
3655	Real-World Clinical Experience With Apremilast in a Large US Retrospective Cohort Study of Patients With Moderate to Severe Plaque Psoriasis	Accession 	Number	J Drugs Dermatol
